"Date Collected:"
"44252",,"Business Ultrafast 100Mbps+"



,,"Provider Name","Community Fibre Business","Vodafone Business","BT Business","Sky Business","Virgin Media Business","TalkTalk Business","EE Business","Zen Internet Business","HyperOptic Business"
,,"Product","Ultrafast","Ultrafast speeds not available to business customers","Ultrafast 1 Fibre Enhanced & Digital Phone Line","Ultrafast speeds not available to business customers","Essential Business Internet","Business
Ultrafast Fibre 150","No Business Broadband Packages - redirected to BT Business","Business Full Fibre 100","Superfast"
,,"Average Download Speed","150Mbps",,"145Mbps",,"108Mbps","145Mbps",,"100Mbps","150Mbps"
,,"Average Upload Speed","150Mbps",,"27Mbps",,"10Mbps","25Mbps",,"18Mbps","150Mbps"
,,"In Contract
Monthly Cost","63",,"54.95",,"28","29.95",,"38.5","55"
,,"Out of Contract
Monthly Cost","84",,"54.95",,"28","34.95",,"Not Published","100"
,,"Upfront Fees","200",,"£9.95*",,"50","0",,"40","100"
,,"Contract Length
(Months)","36",,"24",,"24","24",,"24","24"
,,"Fixed Price Promise","Yes",,"No",,"No","No",,"No","No"
,,"Total Cost Over
36 Months","{""formula"":""(D10*36)+D12"",""result"":2468}","-","{""formula"":""(27.5*9)+(F10*27)+9.95"",""result"":1741.1000000000001}","-","{""formula"":""(H10*36)+H12"",""result"":1058}","{""formula"":""(23.95*12)+(I10*12)+(I11*12)+I12"",""result"":1066.2}","-","{""formula"":""(K10*36)+K12"",""result"":1426}","{""formula"":""(L10*24)+(L11*12)+L12"",""result"":2620}"
,,"Community Fibre Saving",,"{""formula"":""IFERROR(E15-$D$15,\""-\"")"",""result"":""-""}","{""formula"":"""",""result"":-726.8999999999999}","{""formula"":"""",""result"":""-""}","{""formula"":"""",""result"":-1410}","{""formula"":"""",""result"":-1401.8}","{""formula"":"""",""result"":""-""}","{""formula"":"""",""result"":-1042}","{""formula"":"""",""result"":152}"
